"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01007","0","10","70","0","2025","2","",461,4779,4890,4901,64817129,4745671,19092,1027,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,4.5,2,0.0,102,2.1,85,1.8,3487184,5.7,462181,10.8,-5212,-21.4,43,4.4
"01007","1","10","71","0","2025","2","",9,66,69,69,1428742,0,0,1616,"",3.92,0.72,0.75,0.75,0.88,0.00,0.00,1.19,"",0,0.0,-2,-2.9,3,4.5,1,1.5,-38515,-2.6,0,0.0,0,0.0,-60,-3.6
"01007","2","10","71","0","2025","2","",12,241,244,250,4277352,0,0,1343,"",4.38,1.59,1.59,1.64,1.90,0.00,0.00,1.18,"",0,0.0,25,11.6,40,19.6,37,17.4,572356,15.4,0,0.0,0,0.0,-8,-0.6
"01007","3","10","71","0","2025","2","",30,1013,1025,1016,11129373,50070,101,841,"",4.62,2.19,2.16,2.19,1.93,0.60,0.96,0.88,"",-1,-3.2,-8,-0.8,-3,-0.3,-30,-2.9,-22284,-0.2,-26102,-34.3,-51,-33.6,10,1.2
"01007","5","10","71","0","2025","2","",410,3459,3552,3566,47981662,4695601,18991,1047,"",0.91,0.85,0.85,0.85,0.87,1.01,1.00,1.02,"",21,5.4,-13,-0.4,62,1.8,77,2.2,2975627,6.6,488283,11.6,-5161,-21.4,53,5.3
"01009","0","10","70","0","2025","2","",998,9205,9297,9391,107736673,10611609,62587,891,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",36,3.7,226,2.5,225,2.5,197,2.1,5829093,5.7,392313,3.8,8086,14.8,28,3.2
"01009","1","10","71","0","2025","2","",10,79,79,84,1190151,0,0,1135,"",2.01,0.45,0.45,0.48,0.44,0.00,0.00,0.96,"",0,0.0,1,1.3,2,2.6,7,9.1,-82356,-6.5,0,0.0,0,0.0,-131,-10.3
"01009","2","10","71","0","2025","2","",14,340,340,341,4857979,0,0,1098,"",2.36,1.17,1.17,1.17,1.30,0.00,0.00,1.11,"",2,16.7,205,151.9,203,148.2,199,140.1,3091557,175.0,0,0.0,0,0.0,113,11.5
"01009","3","10","71","0","2025","2","",43,1910,1909,1897,22158610,96254,192,895,"",3.06,2.14,2.12,2.13,2.31,0.52,0.56,1.09,"",0,0.0,-2,-0.1,-34,-1.7,-28,-1.5,655756,3.0,-30832,-24.3,-63,-24.7,36,4.2
"01009","5","10","71","0","2025","2","",931,6876,6969,7069,79529933,10515355,62395,878,"",0.96,0.88,0.88,0.88,0.87,1.02,1.00,0.99,"",34,3.8,22,0.3,54,0.8,19,0.3,2164136,2.8,423145,4.2,8149,15.0,20,2.3
"01011","0","10","70","0","2025","2","",214,2651,2674,2640,33495802,2561762,8599,970,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,8.6,-211,-7.4,-131,-4.7,-124,-4.5,-1520241,-4.3,-586050,-18.6,-12097,-58.5,12,1.3
"01011","1","10","71","0","2025","2","",6,32,29,30,469351,0,0,1190,"",5.62,0.63,0.58,0.60,0.56,0.00,0.00,0.93,"",0,0.0,0,0.0,-1,-3.3,3,11.1,-17676,-3.6,0,0.0,0,0.0,-73,-5.8
"01011","2","10","71","0","2025","2","",10,183,179,179,3271265,0,0,1395,"",7.86,2.18,2.13,2.19,2.82,0.00,0.00,1.30,"",-1,-9.1,4,2.2,5,2.9,3,1.7,-289019,-8.1,0,0.0,0,0.0,-158,-10.2
"01011","3","10","71","0","2025","2","",15,310,316,314,3629305,0,0,891,"",4.97,1.21,1.22,1.26,1.22,0.00,0.00,0.99,"",0,0.0,-9,-2.8,-6,-1.9,-6,-1.9,-21499,-0.6,0,0.0,0,0.0,14,1.6
"01011","5","10","71","0","2025","2","",183,2126,2150,2117,26125881,2561762,8599,943,"",0.88,0.94,0.94,0.94,0.92,1.03,1.01,0.97,"",18,10.9,-206,-8.8,-129,-5.7,-124,-5.5,-1192047,-4.4,-586050,-18.6,-12097,-58.5,23,2.5
"01013","0","10","70","0","2025","2","",528,6820,6860,6840,79529954,9493748,33183,894,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,1.3,76,1.1,113,1.7,71,1.0,5152915,6.9,663905,7.5,-15187,-31.4,47,5.5
"01013","1","10","71","0","2025","2","",6,37,37,38,523496,0,0,1079,"",2.28,0.28,0.29,0.30,0.26,0.00,0.00,0.91,"",0,0.0,-5,-11.9,-4,-9.8,-3,-7.3,-10100,-1.9,0,0.0,0,0.0,86,8.7
"01013","2","10","71","0","2025","2","",12,95,95,95,1486368,0,0,1204,"",3.82,0.44,0.44,0.45,0.54,0.00,0.00,1.22,"",0,0.0,3,3.3,2,2.2,2,2.2,232560,18.5,0,0.0,0,0.0,163,15.7
"01013","3","10","71","0","2025","2","",19,715,708,718,8283573,57234,114,893,"",2.55,1.08,1.06,1.11,1.17,0.34,0.63,1.08,"",0,0.0,23,3.3,0,0.0,-3,-0.4,343716,4.3,24147,73.0,48,72.7,29,3.4
"01013","5","10","71","0","2025","2","",491,5973,6020,5989,69236517,9436514,33069,889,"",0.95,1.03,1.03,1.02,1.02,1.02,1.00,1.00,"",7,1.4,55,0.9,115,1.9,75,1.3,4586739,7.1,639758,7.3,-15235,-31.5,48,5.7
"01015","0","10","70","0","2025","2","",2915,43259,43370,43336,560750687,47159741,206027,996,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",103,3.7,-594,-1.4,-428,-1.0,-706,-1.6,12893065,2.4,-2023454,-4.1,-54351,-20.9,36,3.8
"01015","1","10","71","0","2025","2","",43,3377,3394,3392,63391223,0,0,1439,"",2.96,4.09,4.15,4.16,4.52,0.00,0.00,1.09,"",-2,-4.4,-38,-1.1,-24,-0.7,-23,-0.7,-1767362,-2.7,0,0.0,0,0.0,-28,-1.9
"01015","2","10","71","0","2025","2","",27,1868,1859,1665,25297922,0,0,1083,"",1.56,1.37,1.37,1.24,1.30,0.00,0.00,0.98,"",-3,-10.0,35,1.9,58,3.2,-115,-6.5,261335,1.0,0,0.0,0,0.0,16,1.5
"01015","3","10","71","0","2025","2","",73,6322,6372,6554,82788362,254196,3507,993,"",1.78,1.51,1.52,1.60,1.66,0.31,3.10,1.08,"",0,0.0,-108,-1.7,-35,-0.5,28,0.4,226075,0.3,132739,109.3,3266,1355.2,9,0.9
"01015","5","10","71","0","2025","2","",2772,31692,31745,31725,389273180,46905545,202520,944,"",0.98,0.86,0.86,0.86,0.82,1.02,0.99,0.95,"",108,4.1,-483,-1.5,-427,-1.3,-596,-1.8,14173017,3.8,-2156193,-4.4,-57617,-22.1,49,5.5
"01017","0","10","70","0","2025","2","",830,9321,9364,9383,116903975,11191118,70487,961,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",46,5.9,349,3.9,206,2.2,118,1.3,-2422343,-2.0,270445,2.5,7715,12.3,-44,-4.4
"01017","1","10","71","0","2025","2","",6,50,51,51,754813,0,0,1146,"",1.45,0.28,0.29,0.29,0.26,0.00,0.00,0.90,"",0,0.0,1,2.0,-2,-3.8,-1,-1.9,-49275,-6.1,0,0.0,0,0.0,-59,-4.9
"01017","2","10","71","0","2025","2","",14,126,127,131,1781588,0,0,1071,"",2.84,0.43,0.43,0.45,0.44,0.00,0.00,1.01,"",0,0.0,-4,-3.1,-2,-1.6,0,0.0,123394,7.4,0,0.0,0,0.0,90,9.2
"01017","3","10","71","0","2025","2","",48,1419,1419,1429,18047809,50500,103,976,"",4.10,1.57,1.56,1.61,1.73,0.26,0.27,1.10,"",0,0.0,-98,-6.5,-121,-7.9,-114,-7.4,-1177435,-6.1,-10165,-16.8,-152,-59.6,12,1.2
"01017","5","10","71","0","2025","2","",762,7726,7767,7772,96319765,11140618,70384,955,"",0.94,0.97,0.97,0.97,0.97,1.02,1.00,1.00,"",46,6.4,450,6.2,331,4.5,233,3.1,-1319027,-1.4,280610,2.6,7867,12.6,-58,-5.7
"01019","0","10","70","0","2025","2","",521,5507,5655,5535,61760095,7179783,33827,854,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",26,5.3,149,2.8,226,4.2,118,2.2,3981217,6.9,-148686,-2.0,-3554,-9.5,31,3.8
"01019","1","10","71","0","2025","2","",10,46,46,46,714920,0,0,1196,"",3.85,0.44,0.43,0.44,0.46,0.00,0.00,1.06,"",0,0.0,4,9.5,2,4.5,2,4.5,11924,1.7,0,0.0,0,0.0,-52,-4.2
"01019","2","10","71","0","2025","2","",11,88,88,84,1194185,0,0,1060,"",3.55,0.51,0.50,0.49,0.56,0.00,0.00,1.12,"",0,0.0,6,7.3,7,8.6,4,5.0,159491,15.4,0,0.0,0,0.0,77,7.8
"01019","3","10","71","0","2025","2","",24,1166,1177,1170,13392490,59553,260,880,"",3.27,2.19,2.15,2.23,2.44,0.47,1.40,1.11,"",0,0.0,-14,-1.2,8,0.7,-27,-2.3,381681,2.9,5284,9.7,-27,-9.4,33,3.9
"01019","5","10","71","0","2025","2","",476,4207,4344,4235,46458500,7120230,33567,839,"",0.94,0.90,0.90,0.89,0.88,1.02,1.00,0.99,"",26,5.8,153,3.8,209,5.1,139,3.4,3428121,8.0,-153970,-2.1,-3527,-9.5,31,3.8
"01021","0","10","70","0","2025","2","",953,9407,9502,9583,112296072,11414012,64520,910,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",32,3.5,314,3.5,284,3.1,349,3.8,7981851,7.7,704023,6.6,1205,1.9,36,4.1
"01021","1","10","71","0","2025","2","",7,61,61,63,860429,0,0,1073,"",1.47,0.34,0.34,0.35,0.31,0.00,0.00,0.89,"",0,0.0,1,1.7,-4,-6.2,-2,-3.1,-13289,-1.5,0,0.0,0,0.0,12,1.1
"01021","2","10","71","0","2025","2","",14,279,280,281,4040960,0,0,1110,"",2.47,0.94,0.94,0.95,1.04,0.00,0.00,1.10,"",0,0.0,17,6.5,12,4.5,14,5.2,440234,12.2,0,0.0,0,0.0,67,6.4
"01021","3","10","71","0","2025","2","",33,1664,1688,1701,19167993,219411,439,875,"",2.46,1.83,1.83,1.88,1.92,1.09,1.24,1.04,"",-1,-2.9,-11,-0.7,8,0.5,19,1.1,931379,5.1,-13069,-5.6,-25,-5.4,39,4.7
"01021","5","10","71","0","2025","2","",899,7403,7473,7538,88226690,11194601,64081,908,"",0.97,0.92,0.92,0.92,0.92,1.01,1.00,1.00,"",33,3.8,307,4.3,268,3.7,318,4.4,6623527,8.1,717092,6.8,1230,2.0,33,3.8
"01023","0","10","70","0","2025","2","",365,3259,3319,3322,52197165,4111078,21259,1217,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,3.4,-70,-2.1,4,0.1,16,0.5,2129330,4.3,631962,18.2,2267,11.9,56,4.8
"01023","1","10","71","0","2025","2","",7,26,26,27,345917,0,0,1010,"",3.85,0.42,0.42,0.43,0.26,0.00,0.00,0.63,"",0,0.0,1,4.0,-2,-7.1,-2,-6.9,-4824,-1.4,0,0.0,0,0.0,23,2.3
"01023","2","10","71","0","2025","2","",11,54,55,54,786898,0,0,1114,"",5.07,0.52,0.53,0.52,0.43,0.00,0.00,0.83,"",0,0.0,-6,-10.0,-4,-6.8,-2,-3.6,90951,13.1,0,0.0,0,0.0,196,21.4
"01023","3","10","71","0","2025","2","",21,309,310,312,3304646,34308,69,819,"",4.08,0.98,0.96,0.99,0.71,0.47,0.59,0.73,"",-1,-4.5,-27,-8.0,-29,-8.6,-25,-7.4,-217322,-6.2,7130,26.2,16,30.2,16,2.0
"01023","5","10","71","0","2025","2","",326,2870,2928,2929,47759704,4076770,21190,1263,"",0.92,1.03,1.03,1.03,1.07,1.02,1.00,1.04,"",13,4.2,-38,-1.3,39,1.3,45,1.6,2260525,5.0,624832,18.1,2251,11.9,53,4.4
"01025","0","10","70","0","2025","2","",737,7720,7681,7705,98136362,9903073,81124,980,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",11,1.5,-506,-6.2,-544,-6.6,-507,-6.2,-3531995,-3.5,623521,6.7,27695,51.8,29,3.0
"01025","1","10","71","0","2025","2","",13,67,61,64,1071583,0,0,1288,"",3.54,0.45,0.42,0.44,0.44,0.00,0.00,0.99,"",0,0.0,0,0.0,-7,-10.3,-1,-1.5,-55907,-5.0,0,0.0,0,0.0,-13,-1.0
"01025","2","10","71","0","2025","2","",16,325,323,318,4899409,0,0,1170,"",3.65,1.33,1.34,1.33,1.44,0.00,0.00,1.08,"",0,0.0,4,1.2,3,0.9,2,0.6,287278,6.2,0,0.0,0,0.0,58,5.2
"01025","3","10","71","0","2025","2","",39,1486,1493,1489,17043220,1967213,45436,880,"",3.76,1.99,2.01,2.04,1.95,11.29,102.01,0.97,"",1,2.6,156,11.7,152,11.3,158,11.9,2118586,14.2,1635955,493.9,44774,6763.4,19,2.2
"01025","5","10","71","0","2025","2","",669,5842,5804,5834,75122150,7935860,35688,992,"",0.93,0.89,0.89,0.89,0.90,0.82,0.44,1.02,"",10,1.5,-666,-10.2,-692,-10.7,-666,-10.2,-5881952,-7.3,-1012434,-11.3,-17079,-32.4,34,3.5
"01027","0","10","70","0","2025","2","",268,4278,4298,4304,48878122,4202590,19399,876,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,6.8,42,1.0,63,1.5,65,1.5,2627040,5.7,-287216,-6.4,-1637,-7.8,36,4.3
"01027","1","10","71","0","2025","2","",6,40,42,41,634385,0,0,1190,"",4.49,0.49,0.52,0.51,0.52,0.00,0.00,1.03,"",0,0.0,0,0.0,1,2.4,1,2.5,15475,2.5,0,0.0,0,0.0,10,0.8
"01027","2","10","71","0","2025","2","",10,51,53,53,745302,0,0,1095,"",6.27,0.38,0.39,0.40,0.44,0.00,0.00,1.13,"",0,0.0,5,10.9,7,15.2,7,15.2,123116,19.8,0,0.0,0,0.0,55,5.3
"01027","3","10","71","0","2025","2","",17,810,822,806,8045942,37754,82,762,"",4.50,1.96,1.97,1.98,1.85,0.51,0.77,0.94,"",0,0.0,-6,-0.7,-2,-0.2,0,0.0,53554,0.7,-11941,-24.0,-39,-32.2,8,1.1
"01027","5","10","71","0","2025","2","",235,3377,3381,3404,39452493,4164836,19317,896,"",0.90,0.93,0.92,0.92,0.95,1.02,1.00,1.03,"",17,7.8,43,1.3,57,1.7,57,1.7,2434895,6.6,-275275,-6.2,-1598,-7.6,42,4.9
"01029","0","10","70","0","2025","2","",292,2800,2806,2817,39144831,2896591,11724,1072,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.1,92,3.4,100,3.7,99,3.6,2741429,7.5,-221835,-7.1,-8374,-41.7,39,3.8
"01029","1","10","71","0","2025","2","",8,51,50,51,868189,0,0,1318,"",5.50,0.95,0.95,0.96,0.89,0.00,0.00,0.93,"",0,0.0,-3,-5.6,-6,-10.7,-4,-7.3,-131403,-13.1,0,0.0,0,0.0,-80,-5.7
"01029","2","10","71","0","2025","2","",11,102,100,101,1208998,0,0,921,"",6.33,1.15,1.14,1.16,0.89,0.00,0.00,0.78,"",0,0.0,-6,-5.6,-12,-10.7,-9,-8.2,49600,4.3,0,0.0,0,0.0,110,13.6
"01029","3","10","71","0","2025","2","",30,637,647,640,7245369,239123,824,869,"",7.29,2.35,2.38,2.40,2.08,4.69,12.80,0.88,"",0,0.0,40,6.7,47,7.8,32,5.3,444688,6.5,57116,31.4,204,32.9,0,0.0
"01029","5","10","71","0","2025","2","",243,2010,2009,2025,29822275,2657468,10900,1139,"",0.85,0.84,0.84,0.84,0.89,0.94,0.94,1.07,"",6,2.5,61,3.1,71,3.7,80,4.1,2378544,8.7,-278951,-9.5,-8578,-44.0,53,4.9
"01031","0","10","70","0","2025","2","",1444,17706,17771,17708,208941236,21951437,97956,907,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",74,5.4,297,1.7,211,1.2,393,2.3,12324069,6.3,-1160082,-5.0,-10411,-9.6,39,4.5
"01031","1","10","71","0","2025","2","",15,249,240,242,4759753,0,0,1503,"",2.08,0.74,0.72,0.73,0.91,0.00,0.00,1.25,"",0,0.0,-4,-1.6,-11,-4.4,-8,-3.2,-149031,-3.0,0,0.0,0,0.0,1,0.1
"01031","2","10","71","0","2025","2","",21,518,516,487,6863628,0,0,1041,"",2.44,0.92,0.92,0.89,0.95,0.00,0.00,1.04,"",-1,-4.5,21,4.2,18,3.6,16,3.4,558652,8.9,0,0.0,0,0.0,49,4.9
"01031","3","10","71","0","2025","2","",46,2111,2151,2175,26271100,258920,717,942,"",2.26,1.23,1.25,1.30,1.41,0.67,1.33,1.12,"",1,2.2,19,0.9,59,2.8,79,3.8,1493060,6.0,-29283,-10.2,-60,-7.7,31,3.4
"01031","5","10","71","0","2025","2","",1362,14828,14864,14804,171046755,21692517,97239,887,"",0.97,0.98,0.98,0.98,0.96,1.01,1.00,0.98,"",74,5.7,261,1.8,145,1.0,306,2.1,10421388,6.5,-1130799,-5.0,-10351,-9.6,40,4.7
"01033","0","10","70","0","2025","2","",1699,24658,24705,24580,366173165,25262707,145699,1143,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",74,4.6,85,0.3,74,0.3,-52,-0.2,14925188,4.2,-2620210,-9.4,-15356,-9.5,45,4.1
"01033","1","10","71","0","2025","2","",15,762,748,745,29094803,0,0,2977,"",1.77,1.62,1.61,1.61,3.17,0.00,0.00,1.97,"",0,0.0,29,4.0,17,2.3,2,0.3,7188679,32.8,0,0.0,0,0.0,686,29.9
"01033","2","10","71","0","2025","2","",16,698,695,639,8785576,0,0,998,"",1.58,0.89,0.90,0.84,0.69,0.00,0.00,0.79,"",0,0.0,44,6.7,41,6.3,51,8.7,722631,9.0,0,0.0,0,0.0,17,1.7
"01033","3","10","71","0","2025","2","",49,3438,3476,3467,51589854,290672,672,1147,"",2.05,1.44,1.45,1.49,1.58,0.65,0.84,1.08,"",0,0.0,51,1.5,85,2.5,39,1.1,3162161,6.5,51110,21.3,-570,-45.9,52,4.7
"01033","5","10","71","0","2025","2","",1619,19760,19786,19729,276702932,24972035,145027,1077,"",0.98,0.94,0.94,0.94,0.89,1.01,1.00,0.94,"",74,4.8,-39,-0.2,-69,-0.3,-144,-0.7,3851717,1.4,-2671320,-9.7,-14786,-9.3,19,1.8
"01035","0","10","70","0","2025","2","",295,3376,3357,3373,42289294,4719453,15083,966,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,3.5,74,2.2,33,1.0,65,2.0,2302918,5.8,470606,11.1,-5923,-28.2,37,4.0
"01035","1","10","71","0","2025","2","",5,28,23,22,308139,0,0,974,"",3.40,0.43,0.36,0.35,0.29,0.00,0.00,0.76,"",0,0.0,4,16.7,-3,-11.5,-1,-4.3,-13029,-4.1,0,0.0,0,0.0,-41,-4.0
"01035","2","10","71","0","2025","2","",12,219,200,206,2968225,0,0,1096,"",6.84,2.05,1.90,1.97,2.02,0.00,0.00,1.03,"",0,0.0,22,11.2,13,7.0,17,9.0,405109,15.8,0,0.0,0,0.0,64,6.2
"01035","3","10","71","0","2025","2","",20,446,455,460,5591332,22665,45,948,"",4.81,1.36,1.40,1.44,1.49,0.27,0.54,1.06,"",-2,-9.1,-30,-6.3,-24,-5.0,-33,-6.7,82082,1.5,-4638,-17.0,-9,-16.7,70,8.0
"01035","5","10","71","0","2025","2","",258,2683,2679,2685,33421598,4696788,15038,958,"",0.90,0.93,0.94,0.93,0.93,1.02,1.00,0.99,"",12,4.9,78,3.0,47,1.8,82,3.2,1828756,5.8,475244,11.3,-5914,-28.2,28,3.0
"01037","0","10","70","0","2025","2","",166,1477,1453,1455,18959457,1358103,6356,998,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,5.7,3,0.2,-36,-2.4,-36,-2.4,208881,1.1,-208205,-13.3,-6992,-52.4,27,2.8
"01037","1","10","71","0","2025","2","",6,17,14,14,207164,0,0,1062,"",7.25,0.60,0.51,0.51,0.44,0.00,0.00,0.80,"",0,0.0,1,6.2,-2,-12.5,0,0.0,-6472,-3.0,0,0.0,0,0.0,-10,-0.9
